# RELEASE GROUPS    STARTING LENGTH    NUMBER INTERVALS    INTERVAL LENGTH
        54            2                54                2
#
#
# TAG RECOVERIES
#    1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54
     8  28   4  15  35 131  19  80 119  82  20 143 176 111 301 177 197 103  15   0 129  40 118  71 119 110 123 136  94 142 149 105 113 127  65  25  65  68   3   0   2   0  74   4  24 150   0  55  74   5   4  75   0   0
#
#
#---------------------------------
#   1 - RELEASE REGION    YEAR    MONTH
        52             7         1981              2            4
        52             7         1981              8            2
        54             6         1981              5            1
        54             7         1980              8            9
        54             7         1980             11            2
        54             7         1981              2            3
        54             7         1981              5            3
        54            14         1980             11            1
        56             6         1980             11            1
        56             7         1980              8           10
        56             7         1980             11            2
        56             7         1981              2            1
        56             7         1981              5            3
        56             7         1981              8            2
        58             6         1980              8            2
        58             7         1980              5            2
        58             7         1980              8            8
        58             7         1980             11            2
        58             7         1981              2            2
        58             7         1981              5            1
        60             7         1980              5            2
        60             7         1980              8            6
        60             7         1980             11            5
        60             7         1981              5            1
        60             9         1980              8            1
        62             7         1980             11            1
#
#
#---------------------------------
#   9 - RELEASE REGION    YEAR    MONTH
             2         1980        8
0 0 0 0 0 0 0 0 0 0 0 0 8 26 40 257 492 870 2401 541 446 452 448 592 445 250 66 106 297 505 1113 570 161 45 19 11 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        32             9         1980             11            1
        32             9         1981              8            1
        34             5         1982              2            1
        34             6         1981              5            2
        34             7         1981              5            1
        34             9         1980              8            1
        34             9         1980             11            4
        34             9         1981              2            2
        34             9         1981              5            1
        36             5         1980             11            1
        36             5         1981              2            2
        36             6         1981              5            1
        36             6         1981              8            2
        36             9         1980             11            8
        36             9         1981              2            7
        36             9         1981              5            3
        36             9         1981              8            4
        36             9         1982              2            2
        38             5         1980             11            7
        38             5         1981              2            4
        38             5         1981              5            5
        38             5         1981              8            1
        38             5         1981             11            3
        38             5         1982              2            1
        38             5         1982              5            1
        38             6         1981              5            1
        38             6         1981             11            1
        38             9         1980             11           24
        38             9         1981              2            8
        38             9         1981              5           11
        38             9         1981              8           10
        38             9         1982              5            1
        38            16         1981              2            1
        38            16         1981              5            1
        40             5         1980             11            1
        40             5         1981              5            1
        40             9         1980             11            4
        40             9         1981              2            3
        40             9         1981              5            4
        40             9         1981              8            2
        40             9         1981             11            1
        42             5         1980             11            1
        42             5         1981              5            1
        42             5         1982              2            1
        42             6         1981              8            1
        42             7         1981              5            1
        42             9         1980              8            2
        42             9         1980             11            5
        42             9         1981              2            3
        42             9         1981              5            2
        42             9         1981              8            2
        42             9         1981             11            1
        42             9         1982              5            1
        42            13         1980             11            1
        44             5         1981              2            1
        44             6         1980             11            1
        44             9         1980             11           11
        44             9         1981              2            3
        44             9         1981              5            1
        44             9         1981              8            4
        44            13         1982              8            1
        46             5         1980             11            1
        46             5         1981              2            1
        46             5         1981              8            2
        46             5         1982              2            1
        46             9         1980             11            5
